[2001]missing,,9th/10th century,Ps. 1?-2?,"Ägyptisches Museum, P. ? (Blaß Nr. IV)",Berlin,Germany
2101,,6th century,Ps. 118:122-123.130-132 fragm.,"ÖNB, P. Vindob. G 3080",Vienna,Austria
2102,,5th/6th century,Ps. 3:2-4; 118:155-160,"ÖNB, P. Vindob. G 26786",Vienna,Austria
2103,,6th/7th century,Ps. 135:10-13.19-21 fragm.,"ÖNB, P. Vindob. G 35887",Vienna,Austria
2104,,6th century,Ps. 138:17-139:1.3-8 fragm.,"ÖNB, P. Vindob. G 26100",Vienna,Austria
2105,,5th/6th century,Ps. 90:5-10 fragm.,P.Oxy. 2065,Oxyrhynchus,
2106,,5th/6th century,Ps. 90:1-16,P.Oxy. 1928,Oxyrhynchus,
[2107]missing,,4th century,Ps. 117:19-20,NLH Nr. V,?,
2108,,4th century,Ps 40:20-23 fragm.,"Woodbr. Coll., OLCR, P. Inv. 182 i",Birmingham,U. Kingdom
2109,,before 650,Ps. 45:11-12 fragm.,"MMA, Mon. Epiph. 580",New York,United States
2110,,2nd/4th century,Ps. 17:45-118:44 (with gaps),"Bodmer Library, P. Bodm. XXIV",Cologny (Canton of Geneva),Switzerland
2111,,7th century,Ps. 42:3,"Ashm. Mus., Gr. Inscr. 2912",Oxford,U. Kingdom
2112,,7th century,Ps. 67:2-3 fragm.,"Ashm. Mus., Gr. Inscr. 2926 a + b",Oxford,U. Kingdom
2113,,4th century,Ps. 33:2-34:17,"Bodmer Library, P. Bodm. IX",Cologny (Canton of Geneva),Switzerland
2114,,6th/7th century,Ps. 28:3,"Mus. Royaux, E 6801",Brussels,Belgium
2115,,4th century,Ps. 90:1-4 fragm.,"Univ. Bibl., Inv. 1644",Oslo,Norway
2116,,5th/6th century,Ps. 91:14-16 fragm.,"Eleph.-Mus., O. Eleph.DAIK Nr. 165",Aswan,Egypt
2117,,3rd century,Ps. 144:1-10.16-145:4 fragm.,"Ägyptisches Museum, P. 21265",Berlin,Germany
{2118}locked,,,see item 2015,"ÖNB, P. Vindob. K 902",Vienna,Austria
2119,,6th century,Ps. 149:1-6,Ostr. Inv. n. 43,Deir el Giza-z,Egypt
2120,,7th century,Od. 8:62-73 fragm.,"ÖNB, P. Vindob. G 25199 + 41406 + 41407 + 41413",Vienna,Austria
2121,,6th century,Ps. 21:19 (par. NT),"ÖNB, P. Vindob. G 29418",Vienna,Austria
2122,,2nd/3rd century,Ps. 1:2-3 fragm.,"Int. Pap., „G. Vitelli” PSI Inv. 1989",Florence,Italy
2123,,6th/7th century,Ps. 65:9-20; 98:1-8; 103:3-24; 108:4-11.14-17.24-31; 117:12-20; Ps. 103-135 (Incipits),"Kopt. Mus., P. Naqlun I, 1-5",Cairo,Egypt
2124,,5th century,Ps. 90:1-9,"Inst. Pap., Inv. 501",Leiden,Netherlands
2125,,6th/7th century,Od. 8:57-62(?) fragm.,"MMA, Inv. 12.180.334",New York,United States
2126,,6th century,Ps. 71:12.16-17 fragm.,"Sackler Library, P. Ant. 51",Oxford,U. Kingdom
2127,,5th/6th century,Ps. 8:1.3-4.7-8; 12:2-3.5-6; 120:1-2.5-7,"private collections, without number",South Salem,United States
2128,,8th century,Ps. 100:1-4; 100:8-101:3,"University of Paris, Inv. 2125",Paris,Francia
2129,,5th century,Ps. 15:1-4; 16:2-5 fragm.,"Univ.-Bibl., P. Inv. 83",Amsterdam,Netherlands
2130,,5th/6th century,Ps. 1:3-6; 2:6-9,"Sem. Pap., P. Palau Rib. Inv. 33",Barcelona,Spain
2131,,6th/7th century,"quotes of Ps. 17, 90, 117 and NT","Ägyptisches Museum, P. 6096",Berlin,Germany
2132,,6th/7th century,Od. 1:1-2,"Ägyptisches Museum, P. 16158",Berlin,Germany
2133,,5th/6th century,Ps. 1:1-2,"Int. Pap., „G. Vitelli” Inv. 533",Florence,Italy
2134,,5th/6th century,Ps. 114:5-8 fragm.,"Univ., IFC, PUG I 2",Genoa,Italy
2135,,10th century,Ps. 70:20-72:12,"IfP, P. Heid. Inv. G 2071",Heidelberg,Germany
{2136}locked,,,see item 2015,"Kopt. Mus., Inv. 3855 + 3857 + 3859 + 3865",Cairo,Egypt
2137,,10th/11th century,Ps. 46:1-6,"Kopt. Mus., Inv. 3856",Cairo,Egypt
2138,,before 650,Ps. 33:2-5 fragm.,"Ägypt. Mus., Inv. 44674.162",Cairo,Egypt
2139,,4th/5th century,Ps. 30:14-18 fragm.,"BL, P. Inv. Nr. 0507e",London,U. Kingdom
2140,,5th century,Ps. 14:1-3 fragm.,"IfA, P.Colon. Inv. 525",Cologne,Germany
2141,,5th/6th century,Od. 1,"Rijksmus. v. Oud., Inv. I, 451 (A.AL 161)",Leiden,Netherlands
2142,,3rd/5th century,Ps. 19:7-8 fragm.,"John Rylands Library, Add. Box III, without number",Manchester,U. Kingdom
2143,,before 650,Od. 8:57-66.71.72 fragm.,"MMA, Inv. 14.1.203",New York,United States
2144,,4th century,Ps. 1:1 fragm.,"Mus. Egizio, P. Taur. Inv. 27",Turin,Italy
2145,,6th/7th century,Ps. 9:4-13 fragm.,"ÖNB, P. Vindob. G 3084",Vienna,Austria
2146,,Byzantium,Ps. 39:3-6 fragm.,"Ägyptisches Museum, P. 17098",Berlin,Germany
2147,,8th/9th century,Od. 8:64-66.71 fragm.,"Kunsthist. Mus., Inv. 8585",Vienna,Austria
2148,,6th century,Ps. 50:9-12 fragm.,"John Rylands Library, Add. Box III, folder no 11",Manchester,U. Kingdom
2149,,4th century,Ps. 72:6-75:13; 77:1-88:2 z. T. fragm.,"Chester Beatty Library, P. Ch. Beatty XIII (Ac 1501)",Dublin,Ireland
2150,,4th century,Ps. 2:1-8; 26:1-6.8-14; 31:8-11 fragm.,"Chester Beatty Library, P. Ch. Beatty XIV (Ac 1501[!])",Dublin,Ireland
2151,,4th century,Ps. 1:1-4:2 (with gaps),"Chester Beatty Library, P. Ch. Beatty XV",Dublin,Ireland
2152,,6th century,Ps. 5:12; 6:9-10 fragm.,"ÖNB, P. Vindob. G 36022",Vienna,Austria
2153,,6th century,Od. 8:57.86-87 / quotes of NT,"Coll. Lais, P. Lais",Rome,Italy
2154,,IVE,Od. 8 fragm.,"UML, P. Mich. 6427v",Ann Arbor,United States
2155,,7th/8th century,Od. 5:9,"UML, P. Mich. 1572",Ann Arbor,United States
